station,date,reserve,min,max,planned,plan_percent,completance,coal_type,delivery,spending,days,station_id,latitude,longitude,owner,spending_a_jan2016,spending_p_jan2016,spending_g_jan2016
Вуглегірська ТЕС,2018-01-16,263,100.0,325.0,218,121,45,газове,6.499,7.861,33,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-07-10,119,100.0,325.0,150,79,-31,газове,3.1229999999999998,5.073,23,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-24,182,100.0,325.0,258,71,-76,газове,3.899,4.669,39,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-03-28,254,100.0,325.0,185,137,69,газове,4.587,2.941,86,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-06,141,100.0,325.0,173,82,-32,газове,8.959,6.259,23,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-07-05,131,100.0,325.0,152,86,-21,газове,3.0,4.3,30,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-20,195,100.0,325.0,215,91,-20,газове,8.295,4.085,48,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-03,213,100.0,325.0,179,119,34,газове,4.225,2.261,94,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-12-07,213,100.0,325.0,204,104,9,газове,11.017,9.376,23,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-01,173,100.0,325.0,173,100,0,газове,3.36,9.749,18,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-06-19,152,100.0,325.0,225,68,-73,газове,2.917,4.788,32,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-26,187,100.0,325.0,259,72,-72,газове,5.409,2.107,89,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-09,171,100.0,325.0,198,86,-27,газове,7.671,6.23,27,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-04-27,209,100.0,325.0,178,117,31,газове,2.78,3.676,57,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-01-22,249,100.0,325.0,209,119,40,газове,8.429,9.618,26,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-02-08,195,94.596,100.0,192,102,3,газове,5.769,7.848,25,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-29,183,100.0,325.0,261,70,-78,газове,5.015,4.071,45,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-12-26,311,100.0,325.0,232,134,79,газове,8.594,5.382,58,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-02-27,201,101.07499999999999,100.0,185,109,16,газове,8.065,6.713,30,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
